,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Setosa,Virginica,Versicolor
1,"5,1","3,5","1,4","0,2",1,0,0
2,"4,9",3,"1,4","0,2",1,0,0
3,"4,7","3,2","1,3","0,2",1,0,0
4,"4,6","3,1","1,5","0,2",1,0,0
5,5,"3,6","1,4","0,2",1,0,0
6,"5,4","3,9","1,7","0,4",1,0,0
7,"4,6","3,4","1,4","0,3",1,0,0
8,5,"3,4","1,5","0,2",1,0,0
9,"4,4","2,9","1,4","0,2",1,0,0
10,"4,9","3,1","1,5","0,1",1,0,0
11,"5,4","3,7","1,5","0,2",1,0,0
12,"4,8","3,4","1,6","0,2",1,0,0
13,"4,8",3,"1,4","0,1",1,0,0
14,"4,3",3,"1,1","0,1",1,0,0
15,"5,8",4,"1,2","0,2",1,0,0
16,"5,7","4,4","1,5","0,4",1,0,0
17,"5,4","3,9","1,3","0,4",1,0,0
18,"5,1","3,5","1,4","0,3",1,0,0
19,"5,7","3,8","1,7","0,3",1,0,0
20,"5,1","3,8","1,5","0,3",1,0,0
21,"5,4","3,4","1,7","0,2",1,0,0
22,"5,1","3,7","1,5","0,4",1,0,0
23,"4,6","3,6",1,"0,2",1,0,0
24,"5,1","3,3","1,7","0,5",1,0,0
25,"4,8","3,4","1,9","0,2",1,0,0
26,5,3,"1,6","0,2",1,0,0
27,5,"3,4","1,6","0,4",1,0,0
28,"5,2","3,5","1,5","0,2",1,0,0
29,"5,2","3,4","1,4","0,2",1,0,0
30,"4,7","3,2","1,6","0,2",1,0,0
31,"4,8","3,1","1,6","0,2",1,0,0
32,"5,4","3,4","1,5","0,4",1,0,0
33,"5,2","4,1","1,5","0,1",1,0,0
34,"5,5","4,2","1,4","0,2",1,0,0
35,"4,9","3,1","1,5","0,2",1,0,0
36,5,"3,2","1,2","0,2",1,0,0
37,"5,5","3,5","1,3","0,2",1,0,0
38,"4,9","3,6","1,4","0,1",1,0,0
39,"4,4",3,"1,3","0,2",1,0,0
40,"5,1","3,4","1,5","0,2",1,0,0
41,5,"3,5","1,3","0,3",1,0,0
42,"4,5","2,3","1,3","0,3",1,0,0
43,"4,4","3,2","1,3","0,2",1,0,0
44,5,"3,5","1,6","0,6",1,0,0
45,"5,1","3,8","1,9","0,4",1,0,0
46,"4,8",3,"1,4","0,3",1,0,0
47,"5,1","3,8","1,6","0,2",1,0,0
48,"4,6","3,2","1,4","0,2",1,0,0
49,"5,3","3,7","1,5","0,2",1,0,0
50,5,"3,3","1,4","0,2",1,0,0
51,7,"3,2","4,7","1,4",0,0,1
52,"6,4","3,2","4,5","1,5",0,0,1
53,"6,9","3,1","4,9","1,5",0,0,1
54,"5,5","2,3",4,"1,3",0,0,1
55,"6,5","2,8","4,6","1,5",0,0,1
56,"5,7","2,8","4,5","1,3",0,0,1
57,"6,3","3,3","4,7","1,6",0,0,1
58,"4,9","2,4","3,3",1,0,0,1
59,"6,6","2,9","4,6","1,3",0,0,1
60,"5,2","2,7","3,9","1,4",0,0,1
61,5,2,"3,5",1,0,0,1
62,"5,9",3,"4,2","1,5",0,0,1
63,6,"2,2",4,1,0,0,1
64,"6,1","2,9","4,7","1,4",0,0,1
65,"5,6","2,9","3,6","1,3",0,0,1
66,"6,7","3,1","4,4","1,4",0,0,1
67,"5,6",3,"4,5","1,5",0,0,1
68,"5,8","2,7","4,1",1,0,0,1
69,"6,2","2,2","4,5","1,5",0,0,1
70,"5,6","2,5","3,9","1,1",0,0,1
71,"5,9","3,2","4,8","1,8",0,0,1
72,"6,1","2,8",4,"1,3",0,0,1
73,"6,3","2,5","4,9","1,5",0,0,1
74,"6,1","2,8","4,7","1,2",0,0,1
75,"6,4","2,9","4,3","1,3",0,0,1
76,"6,6",3,"4,4","1,4",0,0,1
77,"6,8","2,8","4,8","1,4",0,0,1
78,"6,7",3,5,"1,7",0,0,1
79,6,"2,9","4,5","1,5",0,0,1
80,"5,7","2,6","3,5",1,0,0,1
81,"5,5","2,4","3,8","1,1",0,0,1
82,"5,5","2,4","3,7",1,0,0,1
83,"5,8","2,7","3,9","1,2",0,0,1
84,6,"2,7","5,1","1,6",0,0,1
85,"5,4",3,"4,5","1,5",0,0,1
86,6,"3,4","4,5","1,6",0,0,1
87,"6,7","3,1","4,7","1,5",0,0,1
88,"6,3","2,3","4,4","1,3",0,0,1
89,"5,6",3,"4,1","1,3",0,0,1
90,"5,5","2,5",4,"1,3",0,0,1
91,"5,5","2,6","4,4","1,2",0,0,1
92,"6,1",3,"4,6","1,4",0,0,1
93,"5,8","2,6",4,"1,2",0,0,1
94,5,"2,3","3,3",1,0,0,1
95,"5,6","2,7","4,2","1,3",0,0,1
96,"5,7",3,"4,2","1,2",0,0,1
97,"5,7","2,9","4,2","1,3",0,0,1
98,"6,2","2,9","4,3","1,3",0,0,1
99,"5,1","2,5",3,"1,1",0,0,1
100,"5,7","2,8","4,1","1,3",0,0,1
101,"6,3","3,3",6,"2,5",0,1,0
102,"5,8","2,7","5,1","1,9",0,1,0
103,"7,1",3,"5,9","2,1",0,1,0
104,"6,3","2,9","5,6","1,8",0,1,0
105,"6,5",3,"5,8","2,2",0,1,0
106,"7,6",3,"6,6","2,1",0,1,0
107,"4,9","2,5","4,5","1,7",0,1,0
108,"7,3","2,9","6,3","1,8",0,1,0
109,"6,7","2,5","5,8","1,8",0,1,0
110,"7,2","3,6","6,1","2,5",0,1,0
111,"6,5","3,2","5,1",2,0,1,0
